FIPS,State,County,Error,Timestamp
21201,KY,Robertson County,,2026-03-12 15:25:33
21203,KY,Rockcastle County,,2026-03-12 15:25:34
21205,KY,Rowan County,,2026-03-12 15:25:36
21207,KY,Russell County,,2026-03-12 15:25:37
21209,KY,Scott County,,2026-03-12 15:25:38
26093,MI,Livingston County,,2026-03-12 15:31:38
26095,MI,Luce County,,2026-03-12 15:31:40
26097,MI,Mackinac County,,2026-03-12 15:31:42
26099,MI,Macomb County,,2026-03-12 15:31:44
26101,MI,Manistee County,,2026-03-12 15:31:46
26145,MI,Saginaw County,,2026-03-12 15:34:24
26151,MI,Sanilac County,,2026-03-12 15:34:26
26153,MI,Schoolcraft County,,2026-03-12 15:34:27
26155,MI,Shiawassee County,,2026-03-12 15:34:29
26147,MI,St. Clair County,,2026-03-12 15:34:31
46111,SD,Sanborn County,,2026-03-12 16:16:20
46115,SD,Spink County,,2026-03-12 16:16:22
46117,SD,Stanley County,,2026-03-12 16:16:23
46119,SD,Sully County,,2026-03-12 16:16:24
46121,SD,Todd County,,2026-03-12 16:16:26
